Downloaded from FDA Inventory of Effective Food Contact Substance (FCS) Notifications; http://www.hfpappexternal.fda.gov/scripts/fdcc/?set=FCN; Last updated 2/28/2025; downloaded 3/31/2025.

"According to Section 409(h)(1)(C) of the FFDCA, food contact substance notifications (FCNs) are effective only for the listed manufacturer and its customers. Other manufacturers must submit their own FCN for the same food contact substance & intended use."

FCN No,Message,Addl Info description,Addl Info details,Addl Info details 2,Addl Info details 3,Food Contact Substance,FCS REPLACED BY,Notifier,Manufacturer Supplier,Intended Use,Limitations Specifications,Effective Date,NEPA Submission,FDA Decision for NEPA
=T("1995"),,,,,," An aqueous mixture of peroxylactic acid (PLA) (CAS Reg. No. 75033-25-9), hydrogen peroxide (HP) (CAS Reg. No. 7722-84-1), lactic acid (LA) (CAS Reg. No. 50-21-5), optionally 1-hydroxyethylidine-1,1-diphosphonic acid (HEDP) (CAS Reg. No. 2809-21-4), optionally sulfuric acid (SA) (CAS Reg. No. 7664-93-9), optionally dipicolinic acid (DPA) (CAS Reg. No. 499-83-2), and optionally phosphoric acid (PA) (CAS Reg. No. 7664-38-2).",," Valley Chemical Solutions"," Valley Chemical Solutions"," As an antimicrobial agent in process water, brine, or ice in the processing of meat and poultry."," Components of the FCS mixture will not exceed:<ol><li>1000 parts per million (ppm) PLA, 2480 ppm HP, 5.7 ppm HEDP, and 1.64 ppm DPA in process water or ice that contacts meat or poultry carcasses, parts, trim, and organs.</li><li>268 ppm PLA, 665 ppm HP, 1.53 ppm HEDP, and 0.44 ppm DPA in process water, ice, or brine that contacts processed and pre-formed meat and poultry.</li> </ol>",10/30/2019," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("1996"),,,,,," Acrylic resin derived from styrene (CAS Reg. No. 100-42-5), ethyl acrylate (CAS Reg. No. 140-88-5), and acrylic acid (CAS Reg. No. 79-10-7).",," The Sherwin-Williams Company"," The Sherwin-Williams Company"," As an acrylic resin for use in thermoset coatings for light metal packaging, except for use in contact with infant formula and human milk (see Limitations/Specifications)."," The FCS may contact all food types under Conditions of Use A through H, as described in Tables 1 and 2. The FCS is not for use in contact with infant formula and human milk. Such uses were not included as part of the intended use of the substance in the FCN.",08/31/2019," Categorical Exclusion 25.32(i)"," Categorical Exclusion Memo"
=T("1997"),,,,,," Polycyclooctene (CAS Reg. No. 25267-51-0), used in conjunction with cobalt stearate (CAS Reg. No. 13586-84-0) <strong>REPLACES FCN 1896</strong>",," Evonik Resource Efficiency GmbH"," Evonik Resource Efficiency GmbH"," As an oxygen scavenger in blends with low-density polyethylene or polypropylene as a non-food contact layer in multilayer food contact articles, except for use in contact with infant formula and human milk (see Limitations/Specifications)."," Polycyclooctene may be used at levels up to 10 weight-percent (wt.-%) with up to 0.03 wt.-% cobalt stearate in blends with low-density polyethylene or polypropylene. The FCS/polymer blends will be used only as a non-food contact layer in multilayer films. The thickness of the FCS-containing layer will not exceed 10 microns (&mu;m). The FCS-containing layer will be separated from food by not less than 10 &mu;m of low-density polyethylene, or one or more authorized polymers having equivalent or better barrier properties. The FCS may comprise up to 5 wt.-% of the food contact article. The FCS may be used in packaging that contacts all food types under Conditions of Use E through G, as described in Tables 1 and 2. The FCS is not for use in contact with infant formula and/or human milk. Such uses were not included as part of the intended use of the substance in the FCN.",11/05/2019," Categorical Exclusion 25.32(i)"," Categorical Exclusion Memo"
=T("1998"),,,,,,," REPLACED BY FCN 2292",,,,,," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("2001"),,,,,," A mixture of 1-decene, polymer with sulfur dioxide (CAS Reg. No. 33990-98-6); 1,3-propanediamine, N1-(9Z)-9-octadecen-1-yl-, polymer with 2-(chloromethyl)oxirane (CAS Reg. No. 1010121-89-7); and dodecylbenzenesulfonic acid (CAS Reg. No. 27176-87-0). <strong>REPLACES FCN 1819</strong>",," Innospec Ltd."," Innospec Ltd."," As an antistatic agent in the production of polyethylene and polypropylene polymers and copolymers used in food-contact applications."," <ol><li>For use at levels not to exceed 20 parts per million (ppm) in polyethylene and polypropylene polymers and copolymers intended to be used in contact with all food types under all Conditions of Use, except for use in contact with infant formula and human milk.</li><li>For use at levels not to exceed 4 parts per million (ppm) in high-density polyethylene and polypropylene polymers and copolymers intended for use in contact with infant formula and human milk under Conditions of Use A through H, as described in Table 2.</li></ol>",09/14/2019," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("2002"),,,,,," Polyurethane resin produced by reacting a mixture of 2,4-toluene diisocyanate (CAS Reg. No. 584-84-9) and 2,6-toluene diisocyanate (CAS Reg. No. 91-08-7) with polyoxyethylene-polyoxypropylene glyceryl ether (CAS Reg. No. 9082-00-2) and 1,4-butanediol (CAS Reg. No. 110-63-4).",," Flexpur  Polímeros de Poliuretano, S.A."," Flexpur  Polímeros de Poliuretano, S.A."," As a binder or adhesive in the manufacture of agglomerated cork stoppers that contact alcoholic beverages. The stoppers will function as closures for alcoholic beverage containers, <i>i.e.</i>, Food Types VI-A and VI-C, under Conditions of Use D through G, as described in Tables 1 and 2."," For use at levels not to exceed 33% by weight of finished agglomerated stoppers.",10/03/2019," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("2004"),,,,,," Carbamodithioic acid, N,N-dibutyl-, C,C'-methylene ester (CAS Reg. No. 10254-57-6).",," MOL-LUB Kft"," MOL-LUB Kft"," The FCS is for use as a component of lubricants with incidental food contact, except for use in contact with infant formula and human milk (see Limitations/Specifications)."," For use at a maximum concentration of 0.5 weight percent of the lubricant in contact with all food types under Conditions of Use A through H, as described in Table 2. The FCS is not intended for use in contact with infant formula and human milk. Such uses were not included as part of the intended use of the substance in the FCN.",10/09/2019," Categorical Exclusion 25.32(j)"," Categorical Exclusion Memo"
=T("2005"),,,,,," Trimethylolpropane trisorbate (TMPTS) (CAS Reg. No. 2307636-51-5).",," Milliken Chemical"," Milliken Chemical"," The FCS will be used as a grafting agent in the manufacture of impact-modified polypropylene, except for use in contact with infant formula and human milk (see Limitations/Specifications)."," The FCS will be used at levels not to exceed 0.4 percent by weight of finished impact-modified polypropylene. The FCS may be used in contact with all food types under Conditions of Use C through G, as described in Tables 1 and 2. The FCS is not for use in contact with infant formula and human milk. Such uses were not included as part of the intended use of the substance in the FCN.",12/26/2019," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("2006"),,,,,," An aqueous mixture of peroxyacetic acid (PAA) (CAS Reg. No. 79-21-0), hydrogen peroxide (HP) (CAS Reg. No. 7722-84-1), acetic acid (AA) (CAS Reg. No. 64-19-7), sulfuric acid (SA) (CAS reg. No. 7664-93-9), and 1-hydroxyethylidine-1,1- diphosphonic acid (HEDP) (CAS Reg. No. 2809-21-4).",," DeLaval Inc."," DeLaval Inc."," The FCS will be used as an antimicrobial agent for the commercial sterilization of aseptic, polymeric food packaging prior to filling, except for use of food packaging used in contact with infant formula or human milk. (see Limitations/Specifications)."," The FCS may be applied as a spray only in the following applications:<ol><li>The FCS may be applied to polymeric bottles and closures without a rinse prior to filling with food and on the exterior of sealed polymeric food packaging without a rinse. The maximum at-use concentration of PAA, HP, and HEDP may not exceed 508 ppm, 2700 ppm, and 61 ppm, respectively.</li><li>The FCS may be applied to polymeric containers and closures, drained, and the interior rinsed with potable water. The maximum at-use concentration of PAA, HP, and HEDP may not exceed 2030 ppm, 10,802 ppm, and 244 ppm, respectively.</li><li>The FCS is not intended to be used on food packaging used in contact with infant formula and human milk. Such uses were not included as part of the intended use of the substance in the FCN.</li></ol>",10/23/2019," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("2007"),,,,,," 2-Propenoic acid, polymer with sodium phosphinate (1:1), neutralized with sodium, calcium, and/or magnesium (including CAS Reg. No. 129898-01-7 (Na salt), CAS Reg. No. 935545-65-6 (Mg Na salt)).",," Coatex SAS"," Coatex and Affiliates"," As an aid for dispersing and grinding pigments in mineral coatings of food-contact paper and paperboard, except for use in contact with infant formula and human milk (see Limitations/Specifications)."," The FCS may be used in mineral coatings at a level not to exceed 1.25 percent by weight of solid pigment. The FCS may contact all food types under Conditions of Use A through H, as described in Table 2. The FCS is not for use in contact with infant formula and human milk. Such uses were not included as part of the intended use of the substance in the FCN.",01/03/2020," Categorical Exclusion 25.32(i)"," Categorical Exclusion Memo"
=T("2009"),,,,,," An aqueous mixture of peroxyacetic acid (PAA) (CAS Reg. No. 79-21-0), hydrogen peroxide (HP) (CAS Reg. No. 7722-84-1), acetic acid (AA) (CAS Reg. No. 64-19-7), and, optionally, sulfuric acid (SA) (CAS Reg. No. 7664-93-9).",," Hydrite Chemical Co."," Hydrite Chemical Co."," As an antimicrobial agent for use as a spray on seeds for sprouting and on edible seeds and nuts."," The components of the FCS application mixture will not exceed 229 parts-per-million (ppm) PAA and 1067 ppm HP on treated seeds and nuts. The FCS will be applied in the preparing, packing, or holding of the food for commercial purposes, consistent with the Federal Food, Drug, and Cosmetic Act (FD&C Act) section 201(q)(1)(B)(i). The treated edible seeds can be consumed directly or further processed into flour, protein, or oil. The treated edible nuts are intended to be consumed as nuts. The treated seeds for sprouting are intended to be consumed as sprouts.",10/30/2019," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("2011"),,,,,,," REPLACED BY FCN 2266",,,,,," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("2013"),,,,,," Butyl acrylate (CAS Reg. No. 141-32-2).",," PPG Industries, Inc."," PPG Industries, Inc."," As a monomer in the manufacture of acrylic copolymers complying with 21 CFR 175.300(b)(3)(xx) for use as components of resinous and polymeric coatings, except for use in contact with infant formula and human milk (see Limitations/Specifications)."," The coating is applied as a continuous film or enamel over a metal substrate, or the coating is intended for repeated food-contact use. The coating shall comply with 21 CFR 175.300(c). The FCS is not for use in contact with infant formula and human milk. Such uses were not included as part of the intended use of the substance in the FCN.",11/16/2019," Categorical Exclusion 25.32(i) and (j)"," Categorical Exclusion Memo"
=T("2014"),,,,,," 2-propenoic acid, 2-methyl-, 1-methyl-1,3-propanediyl ester, polymer with 1,3-butadiene, butyl 2-propenoate, ethenylbenzene, and methyl-2-methyl-2-propenoate (CAS Reg. No. 143646-08-6 or 25101-28-4).<strong>REPLACES FCN 1508</strong>",," Kaneka Belgium NV"," Kaneka Belgium NV"," As an impact modifier in styrene acrylonitrile copolymer (SAN) and poly(methyl methacrylate) (PMMA) copolymers used in repeat-use food contact articles only, except for contact with infant formula and human milk."," The FCS will be used in repeat-use articles in contact with Food Types I, II, IV-B, VI-A, VI-B and VI-C (&lt;20 percent alcohol), VII-B, and VIII as described in Table 1, and at a maximum temperature of 40&deg;C. The FCS will be used at levels up to 40 percent by weight in the SAN/PMMA blend. The composition of the SAN/PMMA blend will range between 50:50 percent by weight to 60:40 percent by weight.  Articles containing the FCS will have a maximum thickness of 3.0 mm. The FCS is not for use in contact with infant formula and human milk. Such uses were not included as part of the intended use of the substance in the FCN.",11/20/2019," Categorical Exclusion 25.32(j)"," Categorical Exclusion Memo"
=T("2017"),,,,,," bis(hydrogenated palm-oil alkyl)hydroxy amines (CAS Reg. No. 1374859-51-4).",," BASF Corporation"," BASF Corporation"," As an antioxidant and/or stabilizer in olefin polymers complying with 21 CFR 177.1520(c); intended for single and repeat food contact use, except for use in contact with infant formula and human milk (see Limitations/Specifications)."," <ol><li>At levels not to exceed 0.1 percent by weight of polypropylene polymers complying with 21 CFR 177.1520(c), item 1.1, 1.2, 1.3, 3.1a (with density of 0.85- 0.91 gram per cubic centimeter), 3.2b, 3.4 and 3.5. The finished polymers may be used in contact with: (a) food types I, II, IV-B, VII-B and VIII described in Table 1, under Condition of Use A through H described in Table 2; (b) food types VI-A and VI-B described in Table 1, under Conditions of Use A through C described in Table 2; and food types III, IV-A, V, VI-C, VII-A, and IX described in Table 1, under Conditions of Use B through H described in Table 2.</li><li>At levels not to exceed 0.1 percent by weight of high density polyethylene polymers and copolymers complying with 21 CFR 177.1520(c), item 2.1, 2.2, 2.3, 3.1a, 3.1b, 3.2a, 3.6 (with a density not less than 0.94 gram per cubic centimeter) and 5. The finished polymers may be used in contact with food types I, II, IV-B, VI-A, VI-B, VII-B and VIII under Conditions of Use A through H as described in Tables 1 and 2, and with food types III, IV-A, V, VI-C, VII-A and IX under Conditions of Use B through H as described in Tables 1 and 2.</li><li>At levels not to exceed 0.1 percent by weight of polyethylene polymers and copolymers complying with 21 CFR 177.1520(c), item 2.1, 2.2, 2.3, 3.1a, 3.1b, 3.2a, 3.4, 3.5, and 3.6 (with a density less than 0.94 gram per cubic centimeter). The finished polymers may be used under Conditions of Use B through H described in Table 2.</li></ol> <p>The FCS is not for use in contact with infant formula and human milk. Such uses were not included as part of the intended use of the substance in the FCN.</p>",03/07/2020," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
